Timestamp,X,Y
1735204014.5862713,241.0,171.0
1735204020.9757345,241.5,172.5
1735204024.0803115,248.0,191.5
1735204024.9327655,250.0,189.5
1735204060.9136553,272.5,168.0
1735204061.9776208,273.5,168.0
1735204075.0861173,260.5,176.5
1735204078.6760628,261.5,149.0
